============================================================
评估结果摘要
============================================================
总样本数: 300
标准罪名数量: 202
准确率: 0.9300
Macro-F1: 0.7202
映射数量: 33
映射比例: 11.00%
错误数量: 21
错误率: 7.00%
错误记录已保存到: F:\LegalAgent\agent\src\output\evaluation_results_qwen3_8b_errors.json

错误摘要:
--------------------------------------------------------------------------------
序号 | 真实罪名                 | 预测罪名 
--------------------------------------------------------------------------------
   1 | 危险驾驶                 | 交通肇事                 
  17 | 受贿                   | 非国家工作人员受贿            
  27 | 敲诈勒索                 | 抢劫, 非法拘禁             
  35 | 寻衅滋事                 | 危险驾驶罪                
  42 | 故意伤害                 | 寻衅滋事                 
  56 | 对单位行贿                | 行贿                   
  66 | 聚众斗殴                 | 故意伤害                 
  70 | 绑架                   | 抢劫                   
 123 | 非法处置查封、扣押、冻结的财产      | 拒不执行判决、裁定            
 139 | 危险驾驶                 | 交通肇事罪                
 168 | 聚众斗殴                 | 故意伤害                 
 222 | 对非国家工作人员行贿           | 行贿                   
 224 | 合同诈骗                 | 诈骗                   
 252 | 寻衅滋事                 | 抢劫                   
 254 | 寻衅滋事                 | 聚众斗殴                 
 255 | 破坏电力设备               | 盗窃罪                  
 259 | 假冒注册商标               | 销售假冒注册商标的商品罪         
 269 | 行贿                   | 受贿                   
 277 | 以危险方法危害公共安全          | 非法经营                 
 284 | 单位行贿                 | 行贿罪                  
 300 | 生产、销售伪劣产品            | 销售有毒、有害食品            
